,flu,date,ilitotal
0,14,2018-03-04,72128
1,12,2018-03-11,58266
2,11,2018-03-18,51876
3,10,2018-03-25,47610
4,9,2018-04-01,41386
5,8,2018-04-08,38148
6,6,2018-04-15,33328
7,6,2018-04-22,29738
8,5,2018-04-29,29104
9,4,2018-05-06,26582
10,4,2018-05-13,23238
11,4,2018-05-20,22132
12,4,2018-05-27,21292
13,4,2018-06-03,19216
14,4,2018-06-10,17386
15,4,2018-06-17,15146
16,3,2018-06-24,14746
17,3,2018-07-01,13894
18,3,2018-07-08,12516
19,3,2018-07-15,13002
20,3,2018-07-22,11572
21,3,2018-07-29,10994
22,3,2018-08-05,11224
23,3,2018-08-12,11722
24,4,2018-08-19,13074
25,5,2018-08-26,14646
26,7,2018-09-02,16222
27,9,2018-09-09,19060
28,10,2018-09-16,20130
29,14,2018-09-23,22378
30,17,2018-09-30,23534
31,18,2018-10-07,17975
32,21,2018-10-14,18652
33,18,2018-10-21,19948
34,16,2018-10-28,21634
35,13,2018-11-04,23169
36,13,2018-11-11,24085
37,11,2018-11-18,24419
38,12,2018-11-25,24635
39,11,2018-12-02,29096
40,12,2018-12-09,28377
41,14,2018-12-16,33113
42,18,2018-12-23,38260
43,19,2018-12-30,44012
44,18,2019-01-06,42135
45,16,2019-01-13,38815
46,16,2019-01-20,41199
47,18,2019-01-27,46241
48,22,2019-02-03,55264
49,21,2019-02-10,69732
50,21,2019-02-17,70056
51,18,2019-02-24,66461
52,18,2019-03-03,58802
53,17,2019-03-10,55431
54,14,2019-03-17,53177
55,12,2019-03-24,45668
56,10,2019-03-31,37948
57,8,2019-04-07,32941
58,7,2019-04-14,27854
59,6,2019-04-21,23147
60,6,2019-04-28,20610
61,5,2019-05-05,18864
62,5,2019-05-12,17107
63,4,2019-05-19,16459
64,4,2019-05-26,15763
65,4,2019-06-02,14776
66,3,2019-06-09,13451
67,3,2019-06-16,12106
68,3,2019-06-23,10695
69,3,2019-06-30,10027
70,3,2019-07-07,8722
71,3,2019-07-14,8425
72,3,2019-07-21,8116
73,3,2019-07-28,7787
74,3,2019-08-04,7884
75,4,2019-08-11,8060
76,5,2019-08-18,8994
77,5,2019-08-25,10103
78,6,2019-09-01,11904
79,8,2019-09-08,13188
80,11,2019-09-15,14843
81,15,2019-09-22,16001
82,18,2019-09-29,17453
83,21,2019-10-06,21916
84,19,2019-10-13,22954
85,18,2019-10-20,24886
86,15,2019-10-27,27419
87,16,2019-11-03,28910
88,15,2019-11-10,34586
89,16,2019-11-17,37732
90,13,2019-11-24,44161
91,16,2019-12-01,44044
92,17,2019-12-08,48904
93,20,2019-12-15,56444
94,28,2019-12-22,71594
95,28,2019-12-29,95757
96,28,2020-01-05,88731
97,27,2020-01-12,75614
98,32,2020-01-19,79783
99,44,2020-01-26,90150
100,40,2020-02-02,108307
101,35,2020-02-09,111361
102,30,2020-02-16,95418
103,48,2020-02-23,80559
104,60,2020-03-01,74823
105,100,2020-03-08,78779
106,90,2020-03-15,89607
107,67,2020-03-22,78584
108,56,2020-03-29,53142
109,44,2020-04-05,36251
110,31,2020-04-12,24974
111,31,2020-04-19,18274
112,23,2020-04-26,15164
113,19,2020-05-03,12821
114,18,2020-05-10,11068
115,16,2020-05-17,10480
116,15,2020-05-24,11735
117,6,2020-05-31,9614
118,7,2020-06-07,9325
119,8,2020-06-14,9580
120,11,2020-06-21,11868
121,19,2020-06-28,15499
122,13,2020-07-05,17843
123,16,2020-07-12,20050
124,14,2020-07-19,19261
125,12,2020-07-26,16533
126,11,2020-08-02,15524
127,13,2020-08-09,14118
128,14,2020-08-16,13193
129,12,2020-08-23,12952
130,14,2020-08-30,13159
131,17,2020-09-06,12347
132,19,2020-09-13,13036
133,23,2020-09-20,13049
134,24,2020-09-27,14589
135,30,2020-10-04,16570
136,23,2020-10-11,19194
137,23,2020-10-18,17281
138,21,2020-10-25,18187
139,14,2020-11-01,18612
140,16,2020-11-08,21410
141,20,2020-11-15,22623
142,14,2020-11-22,22722
143,15,2020-11-29,21320
144,16,2020-12-06,22305
145,15,2020-12-13,22219
146,12,2020-12-20,20886
147,13,2020-12-27,19852
148,11,2021-01-03,22720
149,10,2021-01-10,19194
150,10,2021-01-17,18353
151,9,2021-01-24,16910
152,8,2021-01-31,16101
153,7,2021-02-07,14108
154,7,2021-02-14,12602
155,9,2021-02-21,13347
156,7,2021-02-28,13017
157,7,2021-03-07,14098
158,6,2021-03-14,14580
159,6,2021-03-21,15359
160,6,2021-03-28,15994
161,7,2021-04-04,18148
162,7,2021-04-11,19177
163,6,2021-04-18,19313
164,6,2021-04-25,20134
165,5,2021-05-02,19937
166,5,2021-05-09,20373
167,5,2021-05-16,21266
168,4,2021-05-23,19685
169,10,2021-05-30,20152
170,4,2021-06-06,19188
171,4,2021-06-13,19672
172,4,2021-06-20,19896
173,4,2021-06-27,20103
174,4,2021-07-04,22376
175,4,2021-07-11,25263
176,5,2021-07-18,30554
177,7,2021-07-25,35221
178,8,2021-08-01,37762
179,9,2021-08-08,40069
180,9,2021-08-15,42753
181,10,2021-08-22,43062
182,10,2021-08-29,40878
183,11,2021-09-05,39438
184,13,2021-09-12,36222
185,17,2021-09-19,34019
186,18,2021-09-26,30002
187,18,2021-10-03,39606
188,19,2021-10-10,37639
189,16,2021-10-17,35684
190,14,2021-10-24,36616
191,15,2021-10-31,39986
192,14,2021-11-07,44242
193,15,2021-11-14,47047
194,12,2021-11-21,43297
195,15,2021-11-28,52671
196,13,2021-12-05,55027
197,15,2021-12-12,62539
198,19,2021-12-19,79184
199,23,2021-12-26,113921
200,23,2022-01-02,93323
201,16,2022-01-09,69158
202,11,2022-01-16,48685
203,9,2022-01-23,34720
204,7,2022-01-30,25809
205,7,2022-02-06,23719
206,7,2022-02-13,23930
207,7,2022-02-20,23620
208,7,2022-02-27,25789
209,7,2022-03-06,28073
210,8,2022-03-13,31342
211,8,2022-03-20,32433
212,8,2022-03-27,34811
213,9,2022-04-03,38128
214,9,2022-04-10,40953
215,9,2022-04-17,42072
216,9,2022-04-24,44980
217,8,2022-05-01,47787
218,8,2022-05-08,53380
219,8,2022-05-15,54062
220,7,2022-05-22,53992
221,6,2022-05-29,51879
222,6,2022-06-05,45240
223,5,2022-06-12,40250
224,4,2022-06-19,37830
225,4,2022-06-26,34570
226,6,2022-07-03,34995
227,4,2022-07-10,33011
228,4,2022-07-17,32613
229,4,2022-07-24,32040
230,4,2022-07-31,29647
231,4,2022-08-07,28923
232,4,2022-08-14,31572
233,7,2022-08-21,35788
234,7,2022-08-28,37529
235,8,2022-09-04,38334
236,10,2022-09-11,39760
237,12,2022-09-18,44666
238,13,2022-09-25,46154
239,16,2022-10-02,57259
240,20,2022-10-09,63472
241,22,2022-10-16,75736
242,26,2022-10-23,109460
243,27,2022-10-30,139349
244,25,2022-11-06,140147
245,26,2022-11-13,137393
246,28,2022-11-20,165087
247,30,2022-11-27,185776
248,30,2022-12-04,167327
249,28,2022-12-11,151793
250,26,2022-12-18,130083
251,22,2022-12-25,112565
252,15,2023-01-01,92119
253,12,2023-01-08,67757
254,10,2023-01-15,57788
255,9,2023-01-22,58208
256,8,2023-01-29,59247
257,9,2023-02-05,61996
258,8,2023-02-12,57705
